bottleParam,discreteParam
PrDM,"CTD Pressure [db]"
DepSM,"CTD Depth [m]"
Latitude,"CTD Latitude [deg]"
Longitude,"CTD Longitude [deg]"
T090C,"CTD Temperature 1 [deg C]"
T190C,"CTD Temperature 2 [deg C]"
C0S/m,"CTD Conductivity 1 [S/m]"
C1S/m,"CTD Conductivity 2 [S/m]"
Sal00,"CTD Salinity 1 [psu]"
Sal11,"CTD Salinity 2 [psu]"
Sbeox0ML/L,"CTD Oxygen [mL/L]"
OxsolML/L,"CTD Oxygen Saturation [mL/L]"
FlECO-AFL,"CTD Fluorescence [mg/m^3]"
CStarAt0,"CTD Beam Attenuation [1/m]"
CStarTr0,"CTD Beam Transmission [%]"
Ph,"CTD pH"